accession,PF00154_results,PF00154_domain_results,PF21134_domain_results,gold_standards_results,PF21134_results,Walker_A,Walker_B
YP_009611521,1,1,0,1,0,1,0
YP_009611294,1,1,0,1,0,1,0
YP_009611074,1,1,0,1,0,1,1
YP_010092184,1,1,1,1,1,1,1
YP_010090394,1,1,0,1,0,1,1
YP_010088816,1,1,0,1,0,1,1
YP_010050396,1,0,0,0,0,1,0
YP_010050027,1,0,0,0,0,1,0
YP_009876592,1,1,0,1,1,1,1
YP_009831805,1,1,0,1,0,1,0
YP_009610853,1,1,0,1,0,1,1
YP_009610622,1,1,0,1,0,1,1
YP_009609359,1,1,1,1,1,1,1
YP_009601990,1,1,1,1,1,1,1
YP_009597225,1,1,0,1,0,1,1
YP_009594457,1,1,0,1,0,1,1
YP_009325147,1,1,0,1,0,1,1
YP_009324322,1,1,0,1,0,1,1
YP_009321437,1,1,0,1,0,1,1
YP_009320595,1,1,0,1,0,1,1
YP_009285448,1,0,0,1,0,1,1
YP_009293454,1,1,0,1,1,1,1
YP_009290040,1,0,0,1,0,1,1
YP_009287058,1,0,0,1,0,1,1
YP_009286787,0,0,0,0,0,1,1
YP_009285575,1,1,1,1,1,1,1
YP_009282574,1,0,0,1,0,1,1
YP_009281381,1,1,1,1,1,1,1
YP_009281134,1,0,0,0,0,1,0
YP_009280982,1,0,0,1,0,1,1
YP_009286400,1,1,1,1,1,1,1
YP_009282128,1,0,0,1,0,1,1
YP_009282990,1,0,0,1,0,1,1
YP_009278198,1,0,0,1,0,1,1
YP_009291756,1,0,0,1,0,1,1
YP_009275044,0,0,0,0,0,1,1
YP_009275335,1,0,0,1,0,1,1
YP_010355759,1,1,0,1,0,1,1
YP_010355540,1,1,0,1,0,1,1
YP_010355315,1,1,0,1,0,1,1
YP_010088440,1,1,1,1,1,1,1
YP_010077879,1,1,1,1,1,1,1
YP_010066716,1,1,1,1,1,1,1
YP_010066255,1,1,1,1,1,1,1
YP_010066094,1,1,1,1,1,1,1
YP_009875248,0,0,0,0,0,0,1
YP_009808003,0,0,0,0,0,1,1
YP_009807512,0,0,0,0,0,1,1
YP_009806443,0,0,0,0,0,1,0
YP_009806433,1,1,0,1,0,1,1
YP_009785643,0,0,0,0,0,1,1
YP_009783297,1,1,0,1,0,1,1
YP_009779999,1,1,0,1,0,1,1
YP_009625811,1,1,0,1,0,1,1
YP_009607233,1,1,1,1,1,1,1
YP_009606952,1,1,1,1,1,1,1
YP_009601143,1,1,1,1,1,1,1
YP_009598665,1,0,0,1,0,1,1
YP_009592688,1,1,0,1,0,1,1
YP_009352312,1,0,0,1,0,1,0
YP_009321653,1,1,0,1,0,1,1
YP_009302259,1,1,0,1,0,1,1
YP_009301664,1,1,0,1,0,1,1
YP_009273570,1,0,0,1,0,1,1
YP_009225812,1,1,0,1,0,1,1
YP_009218156,1,0,0,1,0,1,1
YP_009203755,1,1,1,1,1,1,1
YP_009218695,1,1,1,1,1,1,1
YP_009217692,1,0,0,1,0,1,1
YP_009213881,1,1,1,1,1,1,1
YP_009213662,1,1,0,1,0,1,1
YP_009212273,1,1,1,1,1,1,1
YP_009211461,1,1,1,1,1,1,1
YP_009209789,1,1,1,1,1,1,1
YP_009207222,1,1,1,1,1,1,1
YP_009205735,1,1,1,1,1,1,1
YP_009202771,1,1,1,1,1,1,1
YP_009201357,1,1,1,1,1,1,1
YP_009196633,1,1,1,1,1,1,1
YP_009196167,0,0,0,0,0,1,0
YP_009194281,1,1,1,1,1,1,1
YP_009190197,1,1,1,1,1,1,1
YP_009189393,0,1,1,1,1,0,1
YP_009188251,1,1,0,1,0,1,1
YP_009149731,1,0,0,1,0,1,1
YP_009149169,1,1,0,1,0,1,1
YP_009148489,1,1,1,1,1,1,1
YP_009146476,1,1,1,1,1,1,1
YP_009153642,1,1,1,1,1,1,1
YP_009147549,1,1,1,1,1,1,1
YP_009146399,0,0,0,0,0,0,1
YP_009151690,1,0,0,1,0,1,1
YP_009151072,1,1,0,1,0,1,1
YP_009142942,1,1,1,1,1,1,1
YP_009140927,1,1,0,1,0,1,1
YP_009140289,1,1,1,1,1,1,1
YP_009134387,1,1,0,1,0,1,1
YP_009133716,1,1,0,1,0,1,1
YP_009134139,1,1,0,1,0,1,1
YP_009118708,1,1,1,1,1,1,1
YP_009100585,1,1,1,1,1,1,1
YP_009099032,0,1,1,1,1,1,1
YP_009101601,1,1,1,1,1,1,1
YP_009056630,1,1,1,1,1,1,1
YP_009056385,1,1,0,1,0,1,1
YP_009056260,0,0,0,1,0,1,1
YP_009044611,1,1,0,1,0,1,1
YP_009042949,1,1,0,1,0,1,1
YP_009037081,1,0,0,1,0,1,1
YP_009035699,1,0,0,1,0,1,1
YP_009035372,1,0,0,1,0,1,1
YP_009037462,1,1,1,1,1,1,1
YP_009031422,1,1,0,1,0,1,1
YP_009030649,1,1,1,1,1,1,1
YP_009030086,1,1,1,1,1,1,1
YP_009030363,1,1,0,1,1,1,1
YP_009011443,1,1,1,1,1,1,1
YP_009008281,1,1,0,1,0,1,1
YP_009008013,1,1,0,1,0,1,1
YP_009005301,1,1,1,1,1,1,1
YP_009006302,1,1,1,1,1,1,1
YP_009003226,1,1,0,1,0,1,1
YP_008770385,1,0,0,1,0,1,1
YP_008241584,1,0,0,1,0,1,1
YP_008240675,1,0,0,1,0,1,1
YP_008129993,1,1,0,1,0,1,1
YP_008125207,1,1,1,1,1,1,1
YP_008061201,1,0,0,1,0,1,1
YP_008060562,1,1,1,1,1,1,1
YP_007877893,1,1,0,1,0,1,1
YP_007877692,1,1,0,1,0,1,1
YP_007676800,1,1,0,1,0,1,1
YP_007677317,1,1,0,1,0,1,1
YP_007675626,1,1,0,1,0,1,1
YP_007675086,1,1,0,1,0,1,1
YP_007674466,1,1,0,1,0,1,1
YP_007673932,1,1,0,1,0,1,1
YP_007673070,1,1,0,1,0,1,1
YP_007517990,1,1,0,1,0,1,1
YP_007348675,1,1,1,1,1,1,1
YP_007349132,1,1,1,1,1,1,1
YP_007237628,1,0,0,0,0,1,1
YP_007111923,1,0,0,1,0,1,1
YP_007010273,1,1,1,1,1,1,1
YP_007008023,1,1,0,1,1,1,1
YP_007007269,1,1,1,1,0,1,1
YP_007005899,1,1,0,0,0,0,1
YP_007005669,1,0,0,0,0,1,1
YP_007004784,1,1,1,1,1,1,1
YP_007004426,1,1,1,1,1,1,1
YP_007004137,1,1,1,1,1,1,1
YP_007003452,1,1,0,1,0,1,1
YP_006987377,1,1,1,1,1,1,1
YP_006986592,1,1,1,1,1,1,1
YP_006986313,1,1,1,1,1,1,1
YP_006908064,1,1,0,1,0,1,1
YP_006906692,1,0,0,1,0,1,1
YP_004957616,1,0,0,0,0,1,1
YP_004934484,1,0,0,1,0,1,1
YP_004782219,1,1,0,1,0,1,1
YP_004508574,1,1,0,1,0,1,1
YP_004414943,1,1,1,1,1,1,1
YP_004325007,1,1,0,1,0,1,1
YP_004324773,1,1,0,1,0,1,1
YP_004324526,1,1,0,1,0,1,1
YP_004324241,1,1,0,1,0,1,1
YP_004323997,1,1,0,1,0,1,1
YP_004323779,1,1,0,1,0,1,1
YP_004323524,1,1,0,1,0,1,1
YP_004323321,0,0,0,0,0,1,0
YP_004323311,1,1,0,1,0,1,1
YP_004323072,1,1,0,1,0,1,1
YP_004322838,1,1,0,1,0,1,1
YP_004322579,1,1,0,1,0,1,1
YP_004322308,1,1,0,1,0,1,1
YP_004251220,0,0,0,1,0,1,1
YP_004063729,1,1,1,1,1,1,1
YP_004009896,1,1,1,1,1,1,1
YP_004009435,1,1,1,1,1,1,1
YP_003934669,1,1,1,1,1,1,1
YP_003856864,1,0,0,1,0,1,1
YP_003734188,1,1,1,1,1,1,1
YP_003358542,1,1,1,1,1,1,1
YP_003359088,1,1,0,1,1,1,1
YP_003097304,1,1,0,1,0,1,1
YP_002922386,1,1,1,1,1,1,1
YP_002922097,1,1,1,1,1,1,1
YP_002224648,1,0,0,1,0,1,1
YP_002224426,1,0,0,1,0,1,1
YP_002224868,1,0,0,1,0,1,1
YP_001595166,1,1,1,1,1,1,1
YP_001469368,1,1,1,1,1,1,1
YP_874025,1,1,0,1,0,1,1
YP_717845,1,1,0,1,0,1,1
YP_214708,1,1,0,1,0,1,1
YP_214417,1,1,0,1,0,1,1
YP_195169,1,1,0,1,0,1,1
YP_010066924,1,1,1,1,1,1,1
YP_009167854,1,1,1,1,1,1,1
YP_009167411,1,1,1,1,1,1,1
YP_009102247,1,1,1,1,1,1,1
YP_009098427,1,1,1,1,1,1,1
YP_006907407,1,0,0,1,0,1,1
YP_002853997,1,1,1,1,1,1,1
NP_899256,1,1,1,1,1,1,1
NP_891595,1,1,1,1,1,1,1
NP_861734,1,1,1,1,1,1,1
QXO05949,1,1,0,1,0,1,1
QQV87800,1,1,0,1,0,1,1
WAX22921,1,1,0,1,0,1,1
WAX13854,1,1,1,1,1,1,1
WAX13579,1,1,1,1,1,1,1
WAX13330,1,1,1,1,1,1,1
WAX13230,1,1,1,1,1,1,1
WAX12761,1,1,1,1,1,1,1
WAX08851,1,0,0,0,0,0,1
WAY16748,1,0,0,1,0,1,1
WAS28534,1,0,0,1,0,0,1
WAK44051,1,1,1,1,1,1,1
WAE77217,1,1,1,1,1,1,1
WAB25193,1,1,0,1,0,1,1
WAB25015,1,1,0,1,0,1,1
WAA20080,1,1,0,1,0,0,1
WAA19891,1,1,0,1,0,0,1
UZT29487,0,0,0,0,0,1,1
UZO33445,1,1,1,1,1,1,1
UJJ74682,1,1,0,1,0,1,1
BAN78387,1,1,1,1,1,1,1
UYM28686,1,1,1,1,1,1,1
UXQ88839,1,1,0,1,0,0,1
UYL05959,1,1,1,1,1,1,1
UYL05785,1,1,1,1,1,1,1
UYL05000,1,1,0,1,0,1,1
UYE98703,1,1,1,1,1,1,1
UYA57670,1,1,0,1,0,1,1
UWV19637,1,0,0,1,0,1,1
UXR28913,1,1,0,1,0,1,1
UCR90956,1,1,0,1,1,1,1
UXD79538,1,1,1,1,1,1,1
UWG30902,1,1,0,1,0,1,1
UWG28160,1,1,0,1,0,1,1
UWG27559,1,0,0,1,0,1,1
UWG19964,1,1,0,1,0,1,1
UWG19292,0,0,0,0,0,1,1
UWG19261,1,1,0,1,0,1,1
UWG19187,1,1,0,1,0,1,1
UWG18507,1,1,0,1,0,1,1
UWG17694,1,1,0,1,0,1,1
UWG13353,1,1,0,1,0,1,1
UWG12747,1,1,0,1,0,1,1
UWG12438,1,1,0,1,0,1,1
UWG09164,1,1,0,1,0,1,1
UWF99028,1,0,0,1,0,1,1
UWF95006,1,1,0,1,0,1,1
UWF93719,1,1,0,1,0,1,1
UWF91489,1,1,0,1,0,1,1
UWF90705,1,0,0,1,0,1,1
UWF90421,1,1,0,1,0,1,1
UWF86463,1,1,0,1,0,1,1
UWF84457,1,1,0,1,0,1,1
UVY63720,1,1,0,1,0,1,1
UVY61224,1,0,0,1,0,1,1
UVY60119,1,0,0,1,0,1,1
UVY58950,1,1,0,1,0,1,1
UVY55541,0,0,0,1,0,0,1
UVY47793,1,1,0,1,0,1,1
UVY45357,1,1,0,1,0,1,1
UVY18899,1,0,0,1,0,1,1
UVY18385,1,1,0,1,0,1,1
UVY15589,1,0,0,0,0,0,1
UVY15481,1,0,0,1,0,1,1
UVY15131,1,1,0,1,0,1,1
UVY14769,1,0,0,1,0,1,1
UVY14264,1,1,0,1,0,1,1
UVY13414,1,0,0,1,0,1,1
UVY13048,1,1,0,1,0,1,1
UVY10328,1,1,0,1,0,1,1
UVX97391,1,1,0,1,0,1,1
UVY41795,1,0,0,1,0,1,1
UVY34477,1,1,0,1,0,1,1
UVY33917,1,1,0,1,0,1,1
UVY28423,1,1,0,1,0,1,1
UVX94050,1,1,0,1,0,1,1
UVX93068,1,1,0,1,0,1,1
UVX91288,1,0,0,1,0,1,1
UVX90380,1,0,0,1,0,1,1
UVX89615,1,1,0,1,0,1,1
UVX88473,1,1,0,1,0,1,1
UVX88133,1,1,0,1,0,1,1
UVX87975,1,1,0,1,0,1,1
UVX86913,1,0,0,1,0,1,1
UVX85844,1,1,0,1,0,1,1
UVX85100,1,1,0,1,0,1,1
UVX84758,1,1,0,1,0,1,1
UVX83625,1,1,0,1,0,1,1
UVX82947,1,0,0,1,0,1,1
UVX82715,1,1,0,1,0,0,1
UVX82387,1,0,0,1,0,1,1
UVX81625,1,0,0,1,0,1,1
UVX81488,1,1,0,1,0,1,1
UVX79773,0,0,0,0,0,1,1
UVX79599,1,0,0,1,0,1,1
UVX77971,0,0,0,0,0,1,1
UVX77453,1,1,0,1,0,1,1
UVX73066,1,0,0,1,0,1,1
UVX71904,1,0,0,1,0,1,1
UVX70802,1,1,0,1,0,1,1
UVX67711,0,0,0,0,0,0,1
UVX67260,1,0,0,1,0,1,1
UVX66292,1,1,1,1,1,1,1
UVX66058,1,0,0,1,0,1,1
UVX62181,1,1,0,1,0,1,1
UVX61781,1,1,0,1,0,1,1
UVX61315,1,1,0,1,0,1,1
UVX60619,1,1,1,1,1,1,1
UVX59103,1,1,0,1,0,1,1
UVX58638,1,1,0,1,0,1,1
UVX57582,1,1,0,1,0,1,1
UVX57079,1,1,0,1,0,1,1
UVX56690,0,0,0,0,0,1,1
UVX55046,1,1,0,1,0,1,1
UVX54867,0,0,0,0,0,0,1
UVX54857,0,0,0,0,0,1,1
UVX53294,1,0,0,0,0,0,1
UVX53099,1,1,0,1,0,1,1
UVX51288,1,1,0,1,0,1,1
UVX49700,1,1,0,1,0,1,1
UVX49549,1,1,0,1,0,1,1
UVX48383,1,1,0,1,0,1,1
UVX46683,1,1,0,1,0,1,1
UVX45782,1,1,0,1,0,1,1
UVX43670,1,1,0,1,0,1,1
UVX42389,1,1,0,1,0,1,1
UVX42358,1,1,0,1,0,1,1
UVX41577,0,0,0,0,0,1,1
UVX40923,1,0,0,1,0,1,1
UVX40683,1,1,0,1,0,1,1
UVX39340,1,1,0,1,0,1,1
UVX38931,1,0,0,1,0,1,1
UVX38526,1,1,0,1,0,1,1
UVX35817,1,1,0,1,0,1,1
UVX32266,1,1,0,1,0,1,1
UVN10173,1,1,0,1,0,1,1
UVN09693,1,0,0,1,0,1,1
UVN08655,1,0,0,0,0,1,0
UVN07576,1,1,0,1,0,1,1
UVN07316,1,1,0,1,0,1,1
UVN07047,1,1,0,1,0,1,1
UVN04257,0,0,0,0,0,1,1
UVN04232,1,1,0,1,0,1,1
UVN02982,1,1,0,1,0,1,1
UVN02914,0,0,0,0,0,0,1
UVN02251,0,0,0,0,0,1,1
UVN00093,1,0,0,0,0,0,1
UVM99981,1,1,0,1,0,1,1
UVM99806,1,1,0,1,0,1,1
UVM99463,1,1,0,1,0,1,1
UVM99079,1,1,0,1,0,1,1
UVM98789,1,0,0,1,0,1,1
UVM98451,1,1,0,1,0,1,1
UVM97273,1,1,0,1,0,1,1
UVM91411,0,0,0,0,0,1,1
UVM90450,0,0,0,0,0,1,1
UVM90394,1,1,0,1,0,1,1
UVM89076,1,1,0,1,0,1,1
UVM87152,1,1,0,1,0,1,1
UVM86381,1,1,0,1,0,1,1
UVM86125,0,0,0,0,0,1,1
UVM82614,1,1,0,1,0,1,1
UVM82094,0,0,0,0,0,1,1
QPI17989,1,1,1,1,1,1,1
UVD32418,1,1,1,1,1,1,1
UTY64278,1,1,1,1,1,1,1
UVF61500,1,1,0,1,0,0,1
URQ08958,1,1,0,1,1,1,1
URQ08855,1,1,0,1,1,1,1
UQS92958,1,1,0,1,1,1,1
UVD39932,1,1,0,1,0,1,1
UVD36729,1,1,1,1,1,1,1
QYC51163,1,1,1,1,1,1,1
UUV44449,1,1,0,1,0,1,1
UUV43823,1,1,0,1,0,1,1
UUG67334,1,1,1,1,1,1,1
UUG67061,1,1,1,1,1,1,1
UTS53940,1,1,1,1,1,1,1
UTQ80312,1,1,1,1,1,1,1
UTQ79978,1,0,0,1,0,1,1
UTQ79362,1,1,1,1,1,1,1
UTQ72806,1,0,0,1,0,1,1
URQ03592,1,1,1,1,1,1,1
URQ03201,1,1,1,1,1,1,1
CAH1086861,1,1,0,1,0,1,1
USM81400,1,1,1,1,1,1,1
USL86008,1,1,1,1,1,1,1
USL85527,1,1,1,1,1,1,1
USL83937,1,1,1,1,1,1,1
USL83700,1,1,1,1,1,1,1
URX66094,1,1,1,1,1,1,1
URX65903,1,1,1,1,1,1,1
URM87611,1,1,0,1,0,1,1
URM86658,1,1,0,1,0,1,1
URG17923,1,1,1,1,1,1,1
URG13603,1,1,1,1,1,1,1
QRI46076,1,1,0,1,0,1,0
QNO12504,1,1,0,1,0,1,1
QNN98330,1,1,0,1,0,1,1
QGH79854,1,1,0,1,0,1,1
QGH78970,1,1,0,1,0,1,1
QGH78273,1,1,0,1,0,1,0
QGH74328,1,1,0,1,0,1,1
QDF17256,1,1,0,1,0,1,1
QBP32715,0,0,0,0,0,1,1
QBP31169,0,0,0,0,0,1,1
QAY12736,1,1,0,1,0,1,1
QAY08746,1,1,0,1,0,1,1
QAX95819,1,1,0,1,0,1,0
AXH66591,1,1,0,1,0,1,1
AVO21361,0,0,0,0,0,1,1
ASR76514,1,1,0,1,0,1,0
ASN73160,1,1,0,1,0,1,1
AKU45373,0,0,0,0,0,1,0
UKL14966,1,0,0,1,0,1,1
UIS24627,1,0,0,1,0,1,1
UPW36125,1,1,1,1,1,1,1
UFD98275,1,0,0,0,0,0,1
QIA28551,1,1,0,1,0,1,1
UPU15759,1,1,0,1,1,1,1
UGC97229,1,0,0,1,0,1,1
BCV07341,1,1,0,1,0,1,0
BCU98749,1,1,0,1,0,1,1
BCU97102,1,1,0,1,0,1,1
BCU96367,1,1,0,1,0,1,1
BCU93598,1,1,0,1,0,1,1
UAW58475,1,1,1,1,1,1,1
QKE56529,1,1,0,1,0,1,1
UOX39969,1,1,0,1,0,0,1
UOL51478,1,1,1,1,1,1,1
UOK17642,1,1,1,1,1,1,1
UKH48963,1,1,1,1,1,1,1
UOF82139,0,0,0,0,0,1,1
QZI93874,1,1,1,1,1,1,1
QZI93613,1,1,1,1,1,1,1
QZI93343,1,1,1,1,1,1,1
UNY42544,1,0,0,0,0,1,1
UNY39839,1,1,0,1,0,1,1
AOO19504,1,1,0,1,0,1,1
AOO19291,1,1,0,1,0,1,1
AOO19082,1,1,0,1,0,1,1
AOO18864,1,1,0,1,0,1,1
AOO18439,1,1,0,1,0,1,1
AOO18225,1,1,0,1,0,1,1
AOO18013,1,1,0,1,0,1,1
AOO17797,1,1,0,1,0,1,1
AOO17367,1,1,0,1,0,1,1
AOO17152,1,1,0,1,0,1,1
AOO16936,1,1,0,1,0,1,1
AOO16721,1,1,0,1,0,1,1
AOO16290,1,1,0,1,0,1,1
AOO16071,1,1,0,1,0,1,1
AOO15649,1,1,0,1,0,1,1
AOO15431,1,1,0,1,0,1,1
AOO15222,1,1,0,1,0,1,1
UNI72783,1,1,1,1,1,1,1
BDH16503,1,0,0,0,0,1,1
UNI71239,1,1,0,1,1,1,1
UNA00809,1,1,0,1,0,1,1
QSM00810,0,0,0,0,0,1,1
UJJ74426,1,1,1,1,1,1,1
ULF50505,1,1,1,1,1,1,1
ULF49385,1,0,0,1,0,1,1
CAD5241578,1,1,1,1,1,1,1
CAD5241838,1,1,1,1,1,1,1
CAD5241288,1,1,1,1,1,1,1
CAD5241893,1,1,1,1,1,1,1
CAD5242979,1,1,1,1,1,1,1
CAD5241258,1,1,1,1,1,1,1
CAD5242997,1,1,1,1,1,1,1
CAD5242033,1,1,1,1,1,1,1
CAD5240909,1,1,1,1,1,1,1
CAD5240781,1,1,1,1,1,1,1
CAD5240622,1,1,1,1,1,1,1
QZI85717,1,0,0,1,0,1,1
UJD20785,0,0,0,0,0,0,0
UJD05803,1,1,1,1,1,1,1
UJD05624,1,1,1,1,1,1,1
UJD04854,1,1,1,1,1,1,1
UIU27986,1,1,1,1,1,1,1
UIU27719,1,1,1,1,1,1,1
UIU27292,1,1,1,1,1,1,1
UIU27019,1,1,1,1,1,1,1
BCO16337,1,1,0,1,0,1,1
UIO58113,1,1,1,1,1,1,1
QXN68748,1,1,0,1,0,1,1
UAW59195,0,0,0,0,0,1,1
UGV22859,1,1,1,1,1,1,1
CAH0499427,1,0,0,0,0,1,1
CAD7712137,1,1,1,1,1,1,1
UGO55391,1,1,1,1,1,1,1
UGO53194,1,1,1,1,1,1,1
UGO50463,1,0,0,1,0,1,1
UGO48377,1,1,1,1,1,1,1
UGO47392,1,1,1,1,1,1,1
QEG11453,1,1,1,1,1,1,1
QXN73975,0,0,0,0,0,0,0
QDP44534,1,0,0,1,0,1,1
AZS07954,1,1,0,1,0,0,1
AZF97879,1,0,0,1,0,1,1
AYD81937,1,0,0,1,0,1,1
AXH44274,1,0,0,0,0,1,0
AXH44030,1,0,0,0,0,1,0
AXH43968,1,0,0,0,0,1,0
ATW58975,1,0,0,0,0,1,0
ATN91457,1,0,0,1,0,1,1
ATN90140,1,0,0,1,0,1,1
ATN88372,1,0,0,1,0,1,1
ATN87628,1,0,0,1,0,1,1
ASZ74355,1,0,0,0,0,1,0
ASR83835,1,0,0,0,0,1,0
ASR83489,1,0,0,0,0,1,0
ASR83424,1,0,0,0,0,1,0
ASR83278,0,0,0,0,0,1,0
AOZ63301,1,0,0,1,0,1,1
AOZ63062,1,0,0,1,0,1,1
AOT24134,1,0,0,0,0,1,0
AOT24071,0,0,0,0,0,1,0
AOQ28315,1,0,0,0,0,1,0
AOQ28255,1,0,0,0,0,1,0
UFK27401,1,1,1,1,1,1,1
UFK27161,1,1,1,1,1,1,1
UEM46871,1,1,0,1,0,1,1
QZI84987,1,1,1,1,1,1,1
QZI84721,1,1,1,1,1,1,1
UDO47352,0,0,0,0,0,1,1
QBX06081,1,1,1,1,1,1,1
QVW29194,1,1,1,1,1,1,1
AEM91786,1,1,0,1,1,1,1
UCW44069,1,0,0,1,0,1,1
UCR92417,1,1,0,1,1,1,1
UCR75175,1,1,1,1,1,1,1
QVW54230,1,1,1,1,1,1,1
ALO79557,1,1,0,1,0,1,1
QWY13748,1,1,1,1,1,1,1
UAV86077,1,0,0,1,0,1,1
QWY83044,1,0,0,1,0,1,1
QZX43702,0,0,0,0,0,1,1
QZI94965,1,1,0,1,0,1,0
QZI94744,1,1,0,1,0,1,0
QZI94522,1,1,0,1,0,1,0
QZI94298,1,1,0,1,0,1,0
QZI87434,1,1,1,1,1,1,1
QZI86538,0,0,0,0,0,1,1
QZD98021,0,0,0,0,0,0,1
QYW05971,1,0,0,1,0,1,1
QXN70802,1,1,0,1,0,1,1
QXN72670,1,1,0,1,0,0,1
QXN72548,1,1,0,1,0,1,1
CAG7581408,1,1,0,1,0,1,1
QXL90440,0,0,0,0,0,1,1
QLF82902,1,1,1,1,1,1,1
DAY79608,0,0,0,0,0,1,1
DAY79482,0,0,0,0,0,1,1
DAY78682,0,0,0,0,0,1,1
DAY78073,0,0,0,0,0,0,1
DAY77432,1,1,0,1,0,1,1
DAY75340,0,0,0,0,0,1,1
DAY74451,1,0,0,1,0,1,1
DAY70949,1,1,0,1,0,1,1
DAY67151,1,1,0,1,0,1,1
DAY61564,1,1,0,1,0,1,1
DAY59293,1,1,0,1,0,1,0
DAY56511,1,1,0,1,0,1,1
DAY53408,0,0,0,0,0,1,1
DAY52499,1,1,0,1,0,0,1
DAY48832,0,0,0,0,0,1,1
DAY48568,0,0,0,0,0,1,1
DAY46519,1,0,0,1,0,1,1
DAZ84823,1,1,0,1,0,1,1
DAZ81496,1,1,0,1,0,1,1
DAZ79131,0,0,0,0,0,1,1
DAZ75188,1,1,0,1,0,1,1
DAZ73851,0,0,0,0,0,1,1
DAZ64463,0,0,0,0,0,1,1
DAZ63049,0,0,0,0,0,1,1
DAZ60524,0,0,0,0,0,1,1
DAZ53563,0,0,0,0,0,1,1
DAZ48714,1,0,0,1,0,1,1
DAZ47044,0,0,0,0,0,1,1
DAZ45257,0,0,0,0,0,1,1
DAZ45200,0,0,0,0,0,1,1
DAZ44576,1,1,0,1,0,1,1
DAZ32313,1,1,0,1,0,1,1
DAZ19310,1,1,0,1,0,1,1
DAZ15641,1,1,0,1,0,1,1
DAZ14105,1,0,0,0,0,1,1
DAZ11271,1,0,0,1,0,1,1
DAZ10849,0,0,0,0,0,0,0
DAZ10019,0,0,0,0,0,0,1
DAZ09331,0,0,0,0,0,1,1
DAZ01198,0,0,0,0,0,1,1
DAY99754,0,0,0,0,0,1,1
DAY92161,0,0,0,0,0,1,1
DAY86612,0,0,0,0,0,1,1
DAY86396,1,0,0,1,0,1,1
DAY84999,1,1,0,1,0,1,1
DAW27348,0,0,0,0,0,1,1
DAW25441,0,0,0,0,0,1,1
DAY45479,1,1,0,1,0,1,1
DAY40793,1,1,0,1,0,1,1
DAY39517,0,0,0,0,0,1,1
DAY38963,1,1,0,1,0,1,1
DAY38388,1,1,0,1,0,1,0
DAY36370,1,0,0,1,0,0,1
DAY34804,1,1,0,1,0,1,1
DAY32834,0,0,0,0,0,1,1
DAY31148,1,0,0,1,0,1,1
DAY30063,1,1,0,1,0,1,1
DAY22577,1,0,0,1,0,0,1
DAY05462,1,1,0,1,0,1,1
DAY04149,0,0,0,0,0,1,0
DAY01134,0,0,0,0,0,1,1
DAX93245,1,1,0,1,0,1,1
DAX83829,0,0,0,0,0,1,1
DAX81641,1,0,0,1,0,1,1
DAX80904,1,0,0,1,0,0,1
DAX78921,0,0,0,0,0,1,1
DAX72797,1,0,0,1,0,1,1
DAX68221,1,0,1,1,0,1,1
DAX64165,0,0,0,0,0,1,1
DAX63712,1,0,0,0,0,1,1
DAX62769,1,1,0,1,0,1,1
DAX61534,1,0,0,0,0,1,1
DAX59072,1,1,0,1,0,1,1
DAX48377,1,1,0,1,0,1,1
DAX47285,1,0,0,1,0,1,1
DAX39562,1,0,0,1,0,1,1
DAX31437,0,0,0,0,0,1,1
DAX24078,0,0,0,0,0,0,0
DAX18154,1,0,0,1,0,1,1
DAX17399,0,0,0,0,0,1,1
DAX14357,0,0,0,0,0,1,0
DAX11460,0,0,0,0,0,0,1
DAX10244,0,0,0,0,0,1,1
DAW99605,0,0,0,0,0,1,1
DAW95738,1,1,0,1,0,1,1
DAW93212,1,1,0,1,0,1,1
DAW91235,1,1,0,1,0,1,1
DAW90396,1,1,0,1,0,1,1
DAW87161,1,1,0,1,0,1,1
DAW84899,1,1,0,1,0,1,1
DAW20537,0,0,0,0,0,1,1
DAW11887,1,0,0,0,0,0,1
DAW07070,1,0,0,1,0,1,1
DAW05595,0,0,0,0,0,1,1
DAW04747,1,1,0,1,0,1,1
DAW04056,0,0,0,0,0,1,1
DAW03198,1,1,0,1,0,1,1
DAW01584,1,0,1,1,0,1,1
DAV94489,0,0,0,0,0,1,1
DAV89786,1,0,1,1,0,1,1
DAV77222,1,1,0,1,0,1,1
DAV71145,1,1,0,1,0,1,1
DAV69970,0,0,0,0,0,0,0
DAV68700,1,1,0,1,0,1,1
DAV67672,1,0,0,1,0,1,1
DAV62600,1,1,0,1,0,1,1
DAV61489,1,1,0,1,0,1,1
DAV59395,1,1,0,1,0,1,1
DAV58106,1,0,0,1,0,1,1
DAV57977,1,1,0,1,0,1,1
DAV47470,1,1,0,1,0,1,1
DAV45435,1,1,0,1,0,1,1
DAV41694,1,0,0,1,0,0,1
DAV38911,0,0,0,0,0,1,1
DAV32619,1,0,0,1,0,1,0
DAV31017,1,0,0,0,0,0,1
DAV30924,0,0,0,0,0,0,0
DAV30247,1,0,0,1,0,1,1
DAV28828,1,0,0,1,0,1,1
DAW81752,1,1,0,1,0,1,1
DAW79441,1,0,0,1,0,1,0
DAW76401,1,1,0,1,0,1,1
DAW75074,1,0,0,1,0,1,0
DAW74784,1,0,0,0,0,1,1
DAW66375,1,0,0,1,0,0,1
DAW64540,1,1,0,1,0,1,1
