accession,full_sequence_hmm_results,PF00154_custom_hmm_results,PF00154_hmm_results,PF21134_custom_hmm_results,PF21134_hmm_results
URC16923,0,0,0,0,0
QRI46076,1,1,1,0,0
QQO39650,0,0,0,0,0
QQO39578,0,0,0,0,0
QQO39471,0,0,0,0,0
QQO39249,0,0,0,0,0
QNO12504,1,1,1,0,0
QNN98330,1,1,1,0,0
QGJ96272,1,1,1,0,0
QGJ94096,1,1,1,0,0
QGJ91925,1,1,1,0,0
QGH79854,1,1,1,0,0
QGH78970,1,1,1,0,0
QGH78273,1,1,1,0,0
QGH74328,1,1,1,0,0
QFP95984,0,0,0,0,0
QFG10500,0,0,0,0,0
QDF17256,1,1,1,0,0
QBP32715,0,0,0,0,0
QBP31169,0,0,0,0,0
QAY12736,1,1,1,0,0
QAY08746,1,1,1,0,0
QAX95819,1,1,1,0,0
AZS06616,0,0,0,0,0
AXH66591,1,1,1,0,0
AVR56966,0,0,0,0,0
AVP43155,0,0,0,0,0
AVO21361,0,0,0,0,0
ASR76514,1,1,1,0,0
ASN73160,1,1,1,0,0
AKU45373,0,0,0,0,0
URC10548,0,0,0,0,0
URC10446,0,0,0,0,0
URC10038,0,0,0,0,0
URC09958,0,0,0,0,0
URC09804,0,0,0,0,0
URC09716,0,0,0,0,0
URC09515,0,0,0,0,0
URC09485,0,0,0,0,0
URC09314,0,0,0,0,0
URC09161,0,0,0,0,0
URC08978,0,0,0,0,0
URC08883,0,0,0,0,0
URC08778,0,0,0,0,0
URC08659,0,0,0,0,0
UKL14966,1,1,1,0,0
UIS24627,1,1,1,0,0
UQK57911,0,0,0,0,0
UQK57849,0,0,0,0,0
UOL49350,0,0,0,0,0
UPW40291,0,0,0,0,0
UPW39815,0,0,0,0,0
UPW39655,0,0,0,0,0
UPW39583,0,0,0,0,0
UPW39181,0,0,0,0,0
UPW38870,0,0,0,0,0
UPW38658,0,0,0,0,0
UPW38148,0,0,0,0,0
UPW37659,0,0,0,0,0
UPW37456,0,0,0,0,0
UPW36125,1,1,1,1,1
UPW35749,0,0,0,0,0
UPW35216,0,0,0,0,0
UFD98275,0,0,1,0,0
UCW44412,0,0,0,0,0
UCW44319,0,0,0,0,0
QIA28551,1,1,1,0,0
UPU15759,1,1,1,0,1
UGC97229,1,1,1,0,0
BCV07341,1,1,1,0,0
BCV04928,0,0,0,0,0
BCV04456,0,0,0,0,0
BCV04273,0,0,0,0,0
BCV01681,0,0,0,0,0
BCV00195,0,0,0,0,0
BCU99574,0,0,0,0,0
BCU99557,1,1,1,0,0
BCU98749,1,1,1,0,0
BCU98466,1,1,0,0,0
BCU98330,1,1,0,0,0
BCU97102,1,1,1,0,0
BCU96896,1,1,1,0,0
BCU96745,1,1,0,0,0
BCU96367,1,1,1,0,0
BCU95771,0,0,1,0,0
BCU95423,1,1,1,0,0
BCU95422,1,1,1,0,0
BCU93598,1,1,1,0,0
UPU15559,0,0,0,0,0
UPO63114,0,0,0,0,0
UPO42282,0,0,0,0,0
UOL51076,0,0,0,0,0
UAW58475,1,1,1,1,1
UAW58409,0,0,0,0,0
UAW58301,0,0,0,0,0
UAW58082,0,0,0,0,0
UAW57955,0,0,0,0,0
QKE56529,1,1,1,0,0
UOX40041,0,0,0,0,0
UOX39969,1,1,1,0,0
UFK26850,0,0,0,0,0
UFK26801,0,0,0,0,0
UOW93129,0,0,0,0,0
UOW92818,0,0,0,0,0
UOW66370,0,0,0,0,0
QVD49395,0,0,0,0,0
UOL51478,1,1,1,1,1
UOK18394,0,0,0,0,0
UOL48414,0,0,0,0,0
UOL48320,0,0,0,0,0
UOK17891,0,0,0,0,0
UOK17642,1,1,1,1,1
UKH48963,1,1,1,1,1
UOF82879,0,0,0,0,0
UOF82805,0,0,0,0,0
UOF82139,0,0,0,0,0
UOF81931,0,0,0,0,0
UOF81855,0,0,0,0,0
UOF81704,0,0,0,0,0
UOF81376,0,0,0,0,0
UOF81316,0,0,0,0,0
UOF81171,0,0,0,0,0
UOF80704,0,0,0,0,0
UOF80535,0,0,1,0,0
UOF80532,1,1,1,0,0
UOF79981,0,0,0,0,0
UOF79939,0,0,0,0,0
UOF79831,0,0,0,0,0
UOF79339,0,0,0,0,0
UOF78582,0,0,0,0,0
UOF77403,0,0,0,0,0
UOF77233,0,0,0,0,0
UOF76981,0,0,0,0,0
UOF76897,0,0,0,0,0
QZI93874,1,1,1,1,1
QZI93613,1,1,1,1,1
QZI93343,1,1,1,1,1
UNY50244,0,0,0,0,0
UNY42544,0,0,1,0,0
UNY41906,0,0,0,0,0
UNY40324,0,0,0,0,0
UNY39839,1,1,1,0,0
UEN68455,0,0,0,0,0
QVV97223,0,0,0,0,0
ACZ55500,0,0,0,0,0
AOO19504,1,1,1,0,0
AOO19291,1,1,1,0,0
AOO19082,1,1,1,0,0
AOO18864,1,1,1,0,0
AOO18439,1,1,1,0,0
AOO18225,1,1,1,0,0
AOO18013,1,1,1,0,0
AOO17797,1,1,1,0,0
AOO17367,1,1,1,0,0
AOO17152,1,1,1,0,0
AOO16936,1,1,1,0,0
AOO16721,1,1,1,0,0
AOO16290,1,1,1,0,0
AOO16071,1,1,1,0,0
AOO15649,1,1,1,0,0
AOO15431,1,1,1,0,0
AOO15222,1,1,1,0,0
QJT70282,0,0,0,0,0
UNI72783,1,1,1,1,1
UNI71896,0,0,0,0,0
UNI71137,0,0,0,0,0
BDH16503,0,0,1,0,0
UNI71239,1,1,1,0,1
ULG01231,0,0,0,0,0
UNA05795,0,0,0,0,0
UNA05665,0,0,0,0,0
UNA05517,0,0,0,0,0
UNA00809,1,1,1,0,0
UMW88014,0,0,0,0,0
UMW87884,0,0,0,0,0
UMO77051,0,0,0,0,0
UMO76472,0,0,0,0,0
UMO76097,0,0,0,0,0
UMM62521,0,0,0,0,0
UMM62480,0,0,0,0,0
QSM00810,0,0,0,0,0
UJJ74426,1,1,1,1,1
ULF50505,1,1,1,1,1
ULG01851,0,0,0,0,0
ULG01605,0,0,0,0,0
ULG01415,0,0,0,0,0
ULG01074,0,0,0,0,0
ULF49385,1,0,1,0,0
ULF48595,0,0,0,0,0
ULF48501,0,0,0,0,0
QYC95397,0,0,0,0,0
UKZ10982,0,0,0,0,0
UKS71362,0,0,0,0,0
UKM53923,0,0,0,0,0
UKM36403,0,0,0,0,0
UKM35941,0,0,0,0,0
UKM17109,0,0,0,0,0
UKL14706,0,0,0,0,0
UJQ71152,0,0,0,0,0
UJQ71110,0,0,0,0,0
QZB89685,1,1,1,1,1
QZB85687,0,0,0,0,0
QZB85649,0,0,0,0,0
QZB85612,0,0,0,0,0
QZB85574,0,0,0,0,0
QZB85538,0,0,0,0,0
QZB85462,0,0,0,0,0
QZB85387,0,0,0,0,0
QZB85349,0,0,0,0,0
QZB85312,0,0,0,0,0
QZB85275,0,0,0,0,0
QZB85237,0,0,0,0,0
QZB85087,0,0,0,0,0
QZB85051,0,0,0,0,0
QZB85014,0,0,0,0,0
QZB84940,0,0,0,0,0
QZB84754,0,0,0,0,0
QZB84607,0,0,0,0,0
QZB84530,0,0,0,0,0
QZB84415,0,0,0,0,0
QZB83649,0,0,0,0,0
UKH49695,0,0,0,0,0
UKH49301,0,0,0,0,0
UKH49226,0,0,0,0,0
UKH48537,0,0,0,0,0
UKH48252,1,1,1,0,0
CAD5241578,1,1,1,1,1
CAD5241838,1,1,1,1,1
CAD5241288,1,1,1,1,1
CAD5241893,1,1,1,1,1
CAD5242979,1,1,1,1,1
CAD5241258,1,1,1,1,1
CAD5242997,1,1,1,1,1
CAD5242033,1,1,1,1,1
CAD5240909,1,1,1,1,1
CAD5240781,1,1,1,1,1
CAD5240622,1,1,1,1,1
QZI85717,1,1,1,0,0
UJQ87968,0,0,0,0,0
UJQ87835,0,0,0,0,0
UJQ86655,0,0,0,0,0
UJQ86453,0,0,0,0,0
UJQ86228,0,0,0,0,0
UJQ86210,0,0,0,0,0
UJQ87269,0,0,0,0,0
UJQ87441,0,0,0,0,0
UJP29989,0,0,0,0,0
QVW28744,0,0,0,0,0
UJH95855,0,0,0,0,0
UJH95786,0,0,0,0,0
UJD20802,0,0,0,0,0
UJD20785,0,0,0,0,0
UJD18061,0,0,0,0,0
UJD05803,1,1,1,1,1
UJD05624,1,1,1,1,1
UJD04854,1,1,1,1,1
UIW12931,0,0,0,0,0
UIW12815,0,0,0,0,0
UIW11695,0,0,0,0,0
UIW11156,0,0,0,0,0
UIW11045,0,0,0,0,0
UIU47018,0,0,1,0,0
UIU27986,1,1,1,1,1
UIU27719,1,1,1,1,1
UIU27292,1,1,1,1,1
UIU27019,1,1,1,1,1
UIS73850,0,0,0,0,0
BCO16337,1,1,1,0,0
UIS74032,0,0,0,0,0
UIO58113,1,1,1,1,1
QXN68760,0,0,0,0,0
QXN68748,1,1,1,0,0
QXN68728,0,0,0,0,0
UAW59195,0,1,0,0,0
AZB66549,0,0,0,0,0
UAJ16887,0,0,0,0,0
UAJ16886,0,0,0,0,0
UHX60367,0,0,0,0,0
UHX60314,0,0,0,0,0
UHX60262,0,0,0,0,0
UHS65470,0,0,0,0,0
UHS65080,0,0,0,0,0
QYA57176,0,0,0,0,0
QQM14230,0,0,0,0,0
UCR80859,0,0,0,0,0
QMP18513,0,0,1,0,0
UHQ62588,0,0,0,0,0
QQO91377,0,0,0,0,0
QQO91301,0,0,0,0,0
QQO91132,0,0,0,0,0
QQM13720,0,0,0,0,0
UGO51931,0,0,0,0,0
UGV23797,0,0,0,0,0
UGV22859,1,1,1,1,1
UGV20066,0,0,0,0,0
CAH0499427,0,0,1,0,0
CAE6408078,0,0,0,0,0
CAD7712137,1,1,1,1,1
CAD5160405,0,0,0,0,0
CAD2070380,0,0,0,0,0
UGO57059,0,0,0,0,0
UGO56309,0,0,1,0,0
UGO55391,1,1,1,1,1
UGO54900,0,0,0,0,0
UGO54349,0,0,0,0,0
UGO53194,1,1,1,1,1
UGO50463,1,1,1,0,0
UGO48377,1,1,1,1,1
UGO47555,0,0,0,0,0
UGO47392,1,1,1,1,1
UGL63482,0,0,0,0,0
UGL62700,0,0,0,0,0
UGL62133,0,0,0,0,0
UGL61306,0,0,0,0,0
UGL61075,0,0,0,0,0
UGC97917,0,0,0,0,0
UGC97329,0,0,0,0,0
QEG11453,1,1,1,1,1
QKN88627,0,0,0,0,0
QXN73993,0,0,0,0,0
QXN73975,0,0,0,0,0
QXN73464,0,0,0,0,0
QWY84933,0,0,0,0,0
QWY82483,0,0,0,0,0
QWY82465,0,0,0,0,0
QUE26023,0,0,0,0,0
QUE25618,0,0,0,0,0
QUE25363,0,0,0,0,0
QRI45983,0,0,0,0,0
QOP65316,0,0,0,0,0
QOP64430,0,0,0,0,0
QOI67818,1,1,1,0,0
QNO12881,0,0,0,0,0
QNL30037,0,0,0,0,0
QNJ59490,0,0,0,0,0
QNJ59421,0,0,0,0,0
QNJ58607,1,1,1,0,0
QNJ57649,0,0,0,0,0
QNJ55982,0,0,0,0,0
QNJ55571,0,0,0,0,0
QKY79547,0,0,0,0,0
QKY78606,0,0,0,0,0
QKO02824,0,0,0,0,0
QGZ17466,0,0,0,0,0
QGZ16745,0,0,0,0,0
QGJ96838,0,0,0,0,0
QGJ96008,0,0,0,0,0
QGJ94522,0,0,0,0,0
QGH76686,0,0,0,0,0
QGH75924,0,0,0,0,0
QED12295,0,0,0,0,0
QED11887,0,0,0,0,0
QDP44534,1,1,1,0,0
QDP43894,0,0,0,0,0
QDM57965,0,0,0,0,0
QDM56336,0,0,0,0,0
QDM56317,0,0,0,0,0
QDH47788,0,0,0,0,0
QCW22390,0,0,0,0,0
QCO93833,0,0,0,0,0
QBZ71869,1,1,1,0,0
AZS11812,0,0,0,0,0
AZS07954,1,1,1,0,0
AZF97879,1,1,1,0,0
AYD81937,1,1,1,0,0
AXH45158,0,0,0,0,0
AXH44274,0,0,1,0,0
AXH44030,0,0,1,0,0
AXH43968,0,0,1,0,0
AXF51632,0,0,0,0,0
AWY05243,0,0,0,0,0
AWY05226,0,0,0,0,0
AUX82539,0,0,0,0,0
ATW58975,0,0,1,0,0
ATN91457,1,1,1,0,0
ATN90140,1,1,1,0,0
ATN88372,1,1,1,0,0
ATN87628,1,1,1,0,0
ASZ74355,0,0,1,0,0
ASR83835,0,0,1,0,0
ASR83489,0,0,1,0,0
ASR83424,0,0,1,0,0
ASR83278,0,0,0,0,0
AOZ63301,1,1,1,0,0
AOZ63062,1,1,1,0,0
AOT24134,0,0,1,0,0
AOT24071,0,0,0,0,0
AOQ28315,0,0,1,0,0
AOQ28255,0,0,1,0,0
AKF14984,0,0,0,0,0
QXV76821,0,0,0,0,0
QVV20300,0,0,0,0,0
QVV20298,0,0,0,0,0
QVV20096,0,0,0,0,0
QVV20094,0,0,0,0,0
QVV19907,0,0,0,0,0
QVV19839,0,0,0,0,0
QVV19509,0,0,0,0,0
QVV19438,0,0,0,0,0
UFK27401,1,1,1,1,1
UFK27161,1,1,1,1,1
UFK26544,0,0,0,0,0
UFK26407,0,0,0,0,0
UFD98376,0,0,1,0,0
UEW68668,0,0,0,0,0
UES35526,0,0,0,0,0
BCZ75881,0,0,0,0,0
UEP18961,0,0,0,0,0
UEP18848,0,0,0,0,0
QXV84154,0,0,1,0,0
QXV83781,0,0,0,0,0
QXV82814,0,0,1,0,0
QXV81743,0,0,0,0,0
QXV81390,0,0,0,0,0
QXV81197,0,0,1,0,0
QXV80974,0,0,1,0,0
QXV80876,0,0,0,0,0
QXV80652,0,0,0,0,0
QXV79861,0,0,1,0,0
QXV78418,0,0,0,0,0
QXV78173,0,0,0,0,0
QXV76641,0,0,1,0,0
UEM46871,1,1,1,0,0
UEM46760,0,0,0,0,0
QZI84987,1,1,1,1,1
QZI84721,1,1,1,1,1
QZI84606,0,0,0,0,0
QZI84539,0,0,0,0,0
QZI84513,0,0,0,0,0
QZI84452,0,0,0,0,0
QZI84391,0,0,0,0,0
QZI84330,0,0,0,0,0
QZI81234,0,0,0,0,0
QZI79905,0,0,0,0,0
QZI79846,0,0,0,0,0
QZI79786,0,0,0,0,0
QZI79723,0,0,0,0,0
QZI79630,0,0,0,0,0
QZI79571,0,0,0,0,0
QZI79059,0,0,0,0,0
QZI78639,0,0,0,0,0
QZI78613,0,0,0,0,0
QZI78467,0,0,0,0,0
QZI78429,0,0,0,0,0
QZD97395,1,1,1,0,0
UDW09778,0,0,0,0,0
QXM18594,0,0,0,0,0
AOT26826,0,0,0,0,0
UDO47352,0,0,0,0,0
QBX06081,1,1,1,1,1
UCJ01397,0,0,0,0,0
QVW29194,1,1,1,1,1
UDL15446,0,0,0,0,0
UCR91364,0,0,0,0,0
AEM91786,1,1,1,0,1
UDG78990,0,0,0,0,0
UCW44069,1,1,1,0,0
UCS82760,0,0,0,0,0
UCR92417,1,1,1,0,1
UCR92253,0,0,0,0,0
UCR92099,0,0,0,0,0
UCR92063,0,0,0,0,0
UCR91821,0,0,0,0,0
UCR91764,0,0,0,0,0
UCR91742,0,0,0,0,0
UCR91181,0,0,0,0,0
UCR90929,0,0,0,0,0
UCR81089,0,0,0,0,0
UCR75175,1,1,1,1,1
UCR74691,0,0,0,0,0
UCR74441,0,0,0,0,0
UCJ01252,0,0,0,0,0
UCR96573,0,0,0,0,0
UBU95718,0,0,0,0,0
QVW54230,1,1,1,1,1
ALO79557,1,1,1,0,0
QWY13748,1,1,1,1,1
QLF85719,0,0,0,0,0
QNJ54531,0,0,0,0,0
QNJ54480,0,0,0,0,0
QNJ54422,0,0,0,0,0
QNJ54364,0,0,0,0,0
QLF85853,0,0,0,0,0
UAW06980,0,0,0,0,0
UAW01068,0,0,0,0,0
UAV90070,0,0,0,0,0
UAV89974,0,0,0,0,0
UAV89846,0,0,0,0,0
UAV89798,0,0,0,0,0
UAV89575,0,0,0,0,0
UAV89526,0,0,0,0,0
UAV89477,0,0,0,0,0
UAV89427,0,0,0,0,0
UAV89377,0,0,0,0,0
UAV89328,0,0,0,0,0
UAV86077,1,1,1,0,0
QWY14647,0,0,0,0,0
UAT28102,0,0,0,0,0
QYC52577,0,0,0,0,0
UAJ17085,1,1,1,0,0
QFR58643,0,0,0,0,0
QWY83620,0,0,0,0,0
QWY83283,0,0,0,0,0
QWY83044,1,1,1,0,0
QZX43702,0,0,0,0,0
QYA57447,0,0,0,0,0
QYA57248,0,0,0,0,0
QZI94965,1,1,1,0,0
QZI94744,1,1,1,0,0
QZI94522,1,1,1,0,0
QZI94298,1,1,1,0,0
QZI93116,0,0,0,0,0
QZI93062,0,0,0,0,0
QZI93015,0,0,0,0,0
QZI93006,0,0,0,0,0
QZI92975,0,0,0,0,0
QZI92966,0,0,0,0,0
QZI92840,0,0,0,0,0
QZI92787,0,0,0,0,0
QZI92549,0,0,0,0,0
QZI92540,0,0,0,0,0
QZI92321,0,0,0,0,0
QZI92240,0,0,0,0,0
QZI92197,0,0,0,0,0
QZI89962,0,0,0,0,0
QZI87434,1,1,1,1,1
QZI87061,0,0,0,0,0
QZI86866,0,0,0,0,0
QZI86754,0,0,0,0,0
QZI86538,0,0,0,0,0
QZI86485,0,0,0,0,0
QZI86447,0,0,0,0,0
QZI86388,0,0,0,0,0
QZI86308,0,0,0,0,0
QZI86239,0,0,0,0,0
QZI86191,0,0,0,0,0
QZI86112,0,0,0,0,0
QZE51104,0,0,0,0,0
QZE11103,0,0,0,0,0
QZE11031,0,0,0,0,0
QZE10737,0,0,0,0,0
QZE10321,0,0,0,0,0
BDA97015,0,0,0,0,0
QZD98622,0,0,0,0,0
QZD98021,0,0,0,0,0
QZD96810,1,1,1,0,0
QXO10441,0,0,0,0,0
QZD26305,0,0,0,0,0
QZD26171,0,0,0,0,0
QZA71335,0,0,0,0,0
QZA71226,0,0,0,0,0
QZA71186,0,0,0,0,0
QYW07954,0,0,0,0,0
QYW07882,0,0,0,0,0
QYW07611,0,0,0,0,0
QYW07321,0,0,0,0,0
QYW07219,0,0,0,0,0
QYW06141,0,0,0,0,0
QYW05971,1,1,1,0,0
QYW02370,0,0,0,0,0
QYW01495,0,0,0,0,0
QYU43899,0,0,0,0,0
QVW05218,0,0,0,0,0
QNI21312,0,0,0,0,0
QYC97338,0,0,0,0,0
QYC97002,0,0,0,0,0
QYC55146,0,0,0,0,0
QYC53052,0,0,0,0,0
QYC52396,0,0,0,0,0
QYC52346,0,0,0,0,0
QXN70802,1,1,1,0,0
QXV72988,0,0,0,0,0
QXV72569,0,0,0,0,0
QVV96865,0,0,0,0,0
QQV88647,0,0,0,0,0
QQV88589,0,0,0,0,0
QXV74642,0,0,0,0,0
QXV74178,0,0,1,0,0
QXV73890,0,0,1,0,0
QXO14728,0,0,0,0,0
QXO14506,0,0,0,0,0
QXO13623,0,0,0,0,0
QXN72670,1,1,1,0,0
QXN72548,1,1,1,0,0
QXN71878,0,0,0,0,0
QXN71609,0,0,0,0,0
QXN71440,0,0,0,0,0
QXN71208,0,0,0,0,0
QXN70997,0,0,0,0,0
QXN70928,0,0,0,0,0
CAG7581408,1,1,1,0,0
QXL90440,0,0,0,0,0
QXN76661,0,0,0,0,0
QXN70878,0,0,0,0,0
QXN67211,0,0,0,0,0
QXN67055,0,0,0,0,0
QXN66966,0,0,0,0,0
QXN74673,1,1,1,0,0
QXH32892,0,0,0,0,0
QLF82902,1,1,1,1,1
QXF95227,0,0,0,0,0
DAY83443,0,0,0,0,0
DAY83244,0,0,0,0,0
DAY82797,0,0,0,0,0
DAY82119,0,0,0,0,0
DAY81988,0,0,0,0,0
DAY81629,0,0,0,0,0
DAY81596,0,0,0,0,0
DAY80811,0,0,0,0,0
DAY80392,0,0,0,0,0
DAY79874,0,0,0,0,0
DAY79608,0,0,0,0,0
DAY79482,0,0,0,0,0
DAY79262,0,0,0,0,0
DAY78966,0,0,0,0,0
DAY78859,0,0,0,0,0
DAY78682,0,0,0,0,0
DAY78459,0,0,0,0,0
DAY78246,0,0,0,0,0
DAY78189,0,0,0,0,0
DAY78073,0,0,0,0,0
DAY77943,0,0,0,0,0
DAY77905,0,0,0,0,0
DAY77776,0,0,0,0,0
DAY77432,1,1,1,0,0
DAY77339,0,0,0,0,0
DAY77229,0,0,0,0,0
DAY77111,0,0,0,0,0
DAY76305,0,0,0,0,0
DAY76003,0,0,0,0,0
DAY75695,0,0,0,0,0
DAY75465,1,1,1,0,0
DAY75340,0,0,0,0,0
DAY75274,0,0,0,0,0
DAY75218,0,0,0,0,0
DAY75079,0,0,0,0,0
DAY74451,1,1,1,0,0
DAY74295,0,0,0,0,0
DAY74027,0,0,0,0,0
DAY74014,0,0,0,0,0
DAY73950,0,0,0,0,0
DAY73612,0,0,0,0,0
DAY72812,1,1,1,0,0
DAY72618,0,0,0,0,0
DAY72418,0,0,0,0,0
DAY72337,0,0,0,0,0
DAY72052,0,0,0,0,0
DAY71653,0,0,0,0,0
DAY71482,0,0,0,0,0
DAY71429,0,0,0,0,0
DAY71234,0,0,0,0,0
DAY70949,1,1,1,0,0
DAY70762,0,0,0,0,0
DAY70414,0,0,0,0,0
DAY69883,0,0,0,0,0
DAY69676,0,0,0,0,0
DAY69537,0,0,0,0,0
DAY69463,0,0,0,0,0
DAY69449,0,0,0,0,0
DAY69044,0,0,1,0,0
DAY68705,0,0,0,0,0
DAY68642,0,0,0,0,0
DAY68524,0,0,0,0,0
DAY67607,0,0,0,0,0
DAY67510,0,0,0,0,0
DAY67151,1,1,1,0,0
DAY67149,0,0,0,0,0
DAY65732,0,0,0,0,0
DAY65543,0,0,0,0,0
DAY65300,0,0,0,0,0
DAY65017,0,0,0,0,0
DAY64321,0,0,0,0,0
DAY64286,0,0,0,0,0
DAY64076,0,0,1,0,0
DAY64062,0,0,0,0,0
DAY63612,0,0,0,0,0
DAY63551,0,0,0,0,0
DAY62876,0,0,0,0,0
DAY62329,0,0,1,0,0
DAY62007,0,0,0,0,0
DAY61788,0,0,0,0,0
DAY61564,1,1,1,0,0
DAY61350,0,0,0,0,0
DAY61092,0,0,0,0,0
DAY60809,0,0,0,0,0
DAY60761,0,0,0,0,0
DAY60697,0,0,0,0,0
DAY60223,0,0,0,0,0
DAY59836,0,0,0,0,0
DAY59654,0,0,0,0,0
DAY59493,0,0,0,0,0
DAY59414,0,0,0,0,0
DAY59293,1,1,1,0,0
DAY59194,0,0,0,0,0
DAY57904,0,0,0,0,0
DAY56642,0,0,0,0,0
DAY56511,1,1,1,0,0
DAY56275,0,0,0,0,0
DAY55533,0,0,0,0,0
DAY55094,0,0,0,0,0
DAY55015,0,0,0,0,0
DAY54928,0,0,0,0,0
DAY54671,0,0,0,0,0
DAY53978,0,0,0,0,0
DAY53873,1,1,1,0,0
DAY53408,0,0,0,0,0
DAY52499,1,1,1,0,0
DAY51261,0,0,0,0,0
DAY50928,0,0,0,0,0
DAY50706,0,0,0,0,0
DAY50395,0,0,0,0,0
DAY50301,0,0,0,0,0
DAY49971,0,0,0,0,0
DAY49851,0,0,0,0,0
DAY49728,0,0,0,0,0
DAY49510,0,0,0,0,0
DAY48832,0,0,0,0,0
DAY48568,0,0,0,0,0
DAY47094,0,0,0,0,0
DAY46629,0,0,0,0,0
DAY46519,1,1,1,0,0
DAY46248,0,0,0,0,0
DAZ85049,0,0,0,0,0
DAZ84823,1,1,1,0,0
DAZ83495,0,0,0,0,0
DAZ82568,0,0,0,0,0
DAZ82481,0,0,0,0,0
DAZ81980,0,0,0,0,0
DAZ81735,0,0,0,0,0
DAZ81626,0,0,0,0,0
DAZ81576,0,0,0,0,0
DAZ81496,1,1,1,0,0
DAZ81209,0,0,0,0,0
DAZ80462,0,0,0,0,0
DAZ79467,0,0,0,0,0
DAZ79131,0,0,0,0,0
DAZ79043,0,0,0,0,0
DAZ78428,0,0,1,0,0
DAZ77470,0,0,0,0,0
DAZ75829,1,1,1,0,0
DAZ75188,1,1,1,0,0
DAZ74294,0,0,0,0,0
DAZ73851,0,1,0,0,0
DAZ73325,0,0,0,0,0
DAZ73037,0,0,0,0,0
DAZ73033,0,0,0,0,0
DAZ72616,0,0,0,0,0
DAZ70751,0,0,0,0,0
DAZ70372,0,0,0,0,0
DAZ70245,0,0,0,0,0
DAZ70149,0,0,0,0,0
DAZ69856,0,0,0,0,0
DAZ69370,0,0,0,0,0
DAZ68712,0,0,1,0,0
DAZ68672,0,0,0,0,0
DAZ68544,0,0,0,0,0
DAZ68334,0,0,0,0,0
DAZ68095,0,0,0,0,0
DAZ67574,0,0,0,0,0
DAZ67467,0,0,0,0,0
DAZ67001,0,0,0,0,0
DAZ66918,0,0,0,0,0
DAZ66913,0,0,0,0,0
DAZ66015,0,0,0,0,0
DAZ65821,0,0,0,0,0
DAZ65323,0,0,0,0,0
DAZ65246,0,0,0,0,0
DAZ64866,0,0,0,0,0
DAZ64708,0,0,0,0,0
DAZ64504,0,0,0,0,0
DAZ64463,0,0,0,0,0
DAZ64240,0,0,0,0,0
DAZ63628,0,0,0,0,0
DAZ63049,0,0,0,0,0
DAZ62908,0,0,0,0,0
DAZ62510,0,0,0,0,0
DAZ62170,0,0,0,0,0
DAZ62134,0,0,0,0,0
DAZ61220,0,0,0,0,0
DAZ61003,0,0,0,0,0
DAZ61000,0,0,0,0,0
DAZ60524,0,0,0,0,0
DAZ60047,0,0,0,0,0
DAZ59894,0,0,0,0,0
DAZ59715,0,0,0,0,0
DAZ59351,0,0,0,0,0
DAZ58425,0,0,0,0,0
DAZ57826,0,0,0,0,0
DAZ56645,0,0,0,0,0
DAZ55706,0,0,0,0,0
DAZ55675,0,0,0,0,0
DAZ55463,0,0,0,0,0
DAZ54883,0,0,0,0,0
DAZ54848,0,0,0,0,0
DAZ54240,0,0,0,0,0
DAZ54239,0,0,0,0,0
DAZ53973,0,0,0,0,0
DAZ53860,0,0,0,0,0
DAZ53703,0,0,0,0,0
DAZ53563,0,0,0,0,0
DAZ53314,0,0,0,0,0
DAZ52984,0,0,0,0,0
DAZ52486,0,0,0,0,0
DAZ52252,1,1,1,0,0
DAZ52031,0,0,0,0,0
DAZ51087,0,0,0,0,0
DAZ50277,0,0,0,0,0
DAZ49938,0,0,0,0,0
DAZ49729,0,0,0,0,0
DAZ49701,0,0,0,0,0
DAZ49563,0,0,0,0,0
DAZ49481,0,0,0,0,0
DAZ49356,0,0,0,0,0
DAZ48714,1,1,1,0,0
DAZ47715,0,0,0,0,0
DAZ47587,0,0,0,0,0
DAZ47507,0,0,0,0,0
DAZ47446,0,0,0,0,0
DAZ47327,0,0,0,0,0
DAZ47044,0,0,0,0,0
DAZ46989,0,0,0,0,0
DAZ46542,0,0,0,0,0
DAZ46432,0,0,0,0,0
DAZ45257,0,0,0,0,0
DAZ45200,0,0,0,0,0
DAZ44950,0,0,0,0,0
DAZ44576,1,1,1,0,0
DAZ44514,0,0,0,0,0
DAZ43506,0,0,0,0,0
DAZ43299,0,0,0,0,0
DAZ43147,0,0,0,0,0
DAZ43129,0,0,0,0,0
DAZ41939,0,0,0,0,0
DAZ41565,0,0,1,0,0
DAZ40779,0,0,0,0,0
DAZ40461,0,0,0,0,0
DAZ40264,0,0,0,0,0
DAZ39928,0,0,0,0,0
DAZ39919,0,0,0,0,0
DAZ39608,0,0,0,0,0
DAZ39383,0,0,0,0,0
DAZ39268,0,0,0,0,0
DAZ38160,0,0,0,0,0
DAZ37933,0,0,0,0,0
DAZ36789,0,0,0,0,0
DAZ36785,0,0,0,0,0
DAZ36675,0,0,0,0,0
DAZ36342,0,0,0,0,0
DAZ35986,0,0,0,0,0
DAZ35844,0,0,0,0,0
DAZ35699,0,0,0,0,0
DAZ35590,0,0,0,0,0
DAZ35478,0,0,0,0,0
DAZ34553,0,0,0,0,0
DAZ34242,0,0,0,0,0
DAZ33726,0,0,0,0,0
DAZ33360,1,1,1,0,0
DAZ32976,0,0,0,0,0
DAZ32931,0,0,0,0,0
