accession,tOPT,TM
A0A3G3MCM7,38,68
A0A2S1GMA1,38,66
A0A2S1GQI1,38,68
A0A482GKI6,38,68
A0A4D6DZD6,37,67
A0A7G3KF99,35,65
A0A482N0M2,44,68
A0A249Y3S7,39,65
A0A7T3NBB8,35,65
A0A192YBD0,40,71
A0A5B9N682,44,68
A0A5Q2F4J8,38,69
A0A2H4YG50,36,65
A0A1W5N0Z5,35,65
A0A1W5P098,35,65
A0A0K1Y4Y3,38,69
A0A0U2DDQ8,37,67
A0A162E488,37,68
A0A1V0DXE1,37,68
A0A411B8P9,31,65
A0A2Z5H2I0,38,68
A0A3G3BZV6,38,69
A0A6H0X1Y6,37,68
A0AAE9JUA1,34,64
A0A1W5LJH2,38,68
A0A5B9N1D2,38,67
A0A1J0GSW6,38,68
A0A2U8QQB1,38,68
A0A2D1GLR8,37,66
A0A5B9NMM1,39,65
A0A1B1P8N4,37,69
A0A4Y5TSQ4,38,64
A0A0M7Q9C8,38,68
A0A6J5P973,45,75
A0A1S5R3V0,42,66
A0A068CCU1,33,63
A0A6H2A7E8,33,63
A0A060AFZ8,33,63
A0A068CB30,33,63
A0A6H2A8R2,33,63
A0A060AF80,33,63
A0A068CB37,33,63
A0A068CB83,33,63
A0A0E3TB75,33,63
A0AAE7RFE5,33,63
A0AB39C883,48,71
A0A411BL33,40,69
A0A076G434,40,69
A0A5J6D734,40,69
A0A8S0G7H7,40,69
A0A7G9A5T1,33,63
A0A7G9A583,33,63
A0A514U7R5,33,63
A0A5C2IG76,33,63
A0A3G1LDP4,40,69
A0A858EC68,33,63
A0A9E7MH96,33,63
A0A6J7WV22,46,70
A0A6M2ZIW3,69,75
A0A1C3S7G2,43,73
A0A291I9I3,38,65
A0A6G8R5U1,55,71
A8E2B6,33,63
A0A1X9I9W6,48,71
J9PRD2,34,64
G9J1V5,34,64
A0A1X9IA86,48,71
C1KFR4,36,68
A0A0K2D065,34,65
A0A1W5PUP6,41,69
A0A0A8J9X7,37,69
A0AAX4QI35,36,66
A0A385EFG6,80,77
Q6Y7M6,40,69
A0A249Y053,41,69
K4I499,41,68
A0ACA9ATK1,34,63
A0A0E3FAP9,53,71
A0A411BCE8,42,69
A0AAX4G8Q3,41,69
A0A1J0MG06,44,67
A0A2K9VAC9,44,68
A0AAU8GH45,35,65
A0AAU8GKN9,35,65
A0A2P1JU53,39,64
A0A6G9L8S6,35,65
A0A7S6HTB9,39,69
A0A218M2X6,36,65
A0AB39TZ10,31,65
A0AB39C3F0,38,69
A0AAU8BDM2,38,69
A0A1G4GPY5,37,68
A0A6B9JG63,39,65
A0A0M4RSS0,34,65
A0A482MMG0,39,69
A0A386K6M7,38,69
A0A1W5N0G9,35,65
A0A650EYM5,38,67
A0AAE8BGM8,35,65
A0A8A6NL89,35,65
A0A193GYV7,37,68
A0A1J0MGX0,38,69
A0A2I6UFH0,39,65
A0A7T3N7R1,38,69
A0A482IH99,34,64
A0A193H0Z5,38,68
A0A6M3G8T6,38,68
A0A7L7SKR3,38,68
A0A7S6HSU8,38,68
A0A097BWP9,38,68
A0A2K9VB18,38,69
A0A3B8DL78,38,68
A0AAX4R5Q2,38,68
A0A1L7DQX5,38,68
A0A6G8QXM5,38,68
A0A6G9LSR8,38,68
A0A7H0XCP9,38,68
A0AB39C9X7,42,65
A0A193H1W7,38,68
A0A193H2W7,38,67
A0A2S1GR82,38,68
A0A7T8EQQ8,37,68
A0A193H035,38,69
A0A7D5FPY3,38,68
A0AB39CAZ1,38,69
I7K2V8,37,68
A0A219YBT3,34,67
A0A2C9CYI8,38,72
A0A2C9CYW0,38,72
A0AAU8L1H9,35,64
A0A223VZV8,45,73
A0A1D7SBF8,55,71
Q30L73,33,63
A0A6G8R6M2,55,72
L7TIH5,43,73
A0A2Z5H9V8,43,72
A0A3Q9R5D2,40,69
A0A873WGH9,60,73
I6PC46,40,69
K7QNK2,40,69
W0TWH5,41,69
A0A1D7SY18,55,74
A0A1S6KVX6,40,69
A0A1X9SJ76,40,69
A0A1D7SYV3,55,74
A0A8E4CDM1,40,69
A0A076YPH8,40,69
A0A0D3MV13,40,69
A0A1D8KNP2,78,77
A0A3G1SV81,40,69
A0A1S6UAR0,41,73
A0A346FKJ1,79,78
A0A7G7WVQ0,40,69
K7R5U2,40,69
Q4Z9W4,40,69
A0A5C0CDM0,41,69
A0A7T7Z8I2,41,69
A0AAU8GGE7,41,68
A0A248A8F0,41,69
A0A5C0CCA0,43,70
A0A5C0CCU9,41,69
I7B257,41,68
A0A193GY31,41,69
A0A2H4PP56,41,69
A0A2Z5HLB1,41,69
A0AAU8GLM0,41,69
A0A678PBH2,41,69
A0A8S5QGP3,43,66
A0AAU8EI60,58,73
